com.samsung.shealth.sleep_snoring,6266001,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
138893,,2023-11-10 08:25:03.824,,,2023-11-10 11:25:56.112,2023-11-10 11:25:56.112,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 08:27:22.717,418008f5-4c7b-468d-a973-fc03a116949b,
143337,,2023-11-10 08:27:58.084,,,2023-11-10 11:25:56.112,2023-11-10 11:25:56.112,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 08:30:21.421,433cb7ac-f76a-41e0-9579-c3cf4c1d24c7,
169072,,2023-11-10 08:34:30.583,,,2023-11-10 11:25:56.112,2023-11-10 11:25:56.112,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 08:37:19.655,4aaa7b75-b693-45f1-8990-d5a2ff0e98ea,
87231,,2023-11-10 08:58:58.081,,,2023-11-10 11:25:56.112,2023-11-10 11:25:56.112,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 09:00:25.312,e7d16441-3edb-43aa-9dff-44a59b71fc33,
118995,,2023-11-10 09:01:27.336,,,2023-11-10 11:25:56.113,2023-11-10 11:25:56.113,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 09:03:26.331,a0b7ccd2-c26f-497a-953c-9bc952ed4451,
109537,,2023-11-10 09:11:33.177,,,2023-11-10 11:25:56.113,2023-11-10 11:25:56.113,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-10 09:13:22.714,b91c6809-dbc7-432f-a026-80570b00bffe,
596921,,2023-11-11 08:26:49.931,,,2023-11-11 13:41:23.622,2023-11-11 13:41:23.622,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-11 08:36:46.852,7bfacf45-3385-44b5-a38f-7d876303a04b,
686958,,2023-11-11 08:38:47.770,,,2023-11-11 13:41:23.622,2023-11-11 13:41:23.622,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-11 08:50:14.728,bbd45a2f-09fc-42a4-9e3d-228128813a5b,
206951,,2023-11-11 08:50:47.867,,,2023-11-11 13:41:23.622,2023-11-11 13:41:23.622,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-11 08:54:14.818,10c828f1-f6d9-48a5-81e7-55c9d4ef2572,
78895,,2023-11-11 09:14:56.115,,,2023-11-11 13:41:23.623,2023-11-11 13:41:23.623,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-11 09:16:15.010,b7007ccf-d59a-41c3-9156-437981142982,
